,title,address,latitude,longitude,retailer_type
52,West Park Deli,19 W. 103rd St.,40.796603,-73.962629,"Convenience stores, pharmacies, and delis"
53,528 Sugar Hill Gourmet,528 W. 145th St.,40.825935,-73.949275,"Convenience stores, pharmacies, and delis"
54,Haiderah Candy,561 W. 145th St.,40.826173,-73.94984,"Convenience stores, pharmacies, and delis"
55,CVS Pharmacy #10827,3536 Broadway,40.826252,-73.950447,"Convenience stores, pharmacies, and delis"
56,Duke Ellington Deli,934 Columbus Ave.,40.799085,-73.96298,"Convenience stores, pharmacies, and delis"
57,Mishkins Pharmacy,1714 Amsterdam Ave.,40.825072,-73.947728,"Convenience stores, pharmacies, and delis"
58,Shell Gas,3260 Broadway,40.817695,-73.956689,"Convenience stores, pharmacies, and delis"
59,Hamilton Heights Grocery,3422 Broadway,40.822671,-73.953067,"Convenience stores, pharmacies, and delis"
60,Freedom Deli Plus,908 St. Nicholas Ave.,40.831223,-73.94126,"Convenience stores, pharmacies, and delis"
61,2M Associates Discount,1405 Amsterdam Ave.,40.815283,-73.954876,"Convenience stores, pharmacies, and delis"
62,Yellow Banana,1658 Amsterdam Ave.,40.823408,-73.948953,"Convenience stores, pharmacies, and delis"
63,Duane Reade #14417,568-574 W. 125th St.,40.815008,-73.957741,"Convenience stores, pharmacies, and delis"
64,Morningside Deli,256 Manhattan Ave.,40.801726,-73.959245,"Convenience stores, pharmacies, and delis"
65,Star One Deli Salad Bar,1800 Amsterdam Ave.,40.82789,-73.945663,"Convenience stores, pharmacies, and delis"
66,Broadway Mart,2708 Broadway,40.799419,-73.968254,"Convenience stores, pharmacies, and delis"
67,Heights Grocery,3801 Broadway,40.834934,-73.944398,"Convenience stores, pharmacies, and delis"
68,Seafood King Fish Market,3903-3905 Broadway,40.837921,-73.942198,"Convenience stores, pharmacies, and delis"
69,1514 Smart Gourmet,1514 Amsterdam Ave.,40.818667,-73.952415,"Convenience stores, pharmacies, and delis"
70,Kims Fish Market,201 W. 104th St.,40.799258,-73.966963,"Convenience stores, pharmacies, and delis"
71,Hudson Candy and Grocery,600 W. 161st St.,40.836605,-73.943148,"Convenience stores, pharmacies, and delis"
72,Chubby Hubby Deli,3350 Broadway,40.82054,-73.954626,"Convenience stores, pharmacies, and delis"
73,Best Candy Store,3430 Broadway,40.823019,-73.952813,"Convenience stores, pharmacies, and delis"
74,Best Value,1802 Amsterdam Ave.,40.827949,-73.945621,"Convenience stores, pharmacies, and delis"
75,97 Tobacco Shop,2578 Broadway,40.795477,-73.971056,"Convenience stores, pharmacies, and delis"
76,Diaz Mini Deli,601 W. 144th St.,40.825801,-73.95103,"Convenience stores, pharmacies, and delis"
77,West 96 Deli,214 W. 96th St.,40.794347,-73.971062,"Convenience stores, pharmacies, and delis"
78,Amsterdam Pharmacy & Surgical Supplies,1743 Amsterdam Ave.,40.826121,-73.946956,"Convenience stores, pharmacies, and delis"
79,CVS Pharmacy #02360,743 Amsterdam Ave.,40.794303,-73.970183,"Convenience stores, pharmacies, and delis"
80,3635 Silver Saddle Deli,3635 Broadway,40.829402,-73.948413,"Convenience stores, pharmacies, and delis"
81,Joe's Gourmet Health Deli,3161 Broadway,40.814804,-73.959118,"Convenience stores, pharmacies, and delis"
82,Rite Aid Pharmacy #04189,741 Columbus Ave.,40.793199,-73.96727,"Convenience stores, pharmacies, and delis"
83,NY 1 Gourmet Deli,1983 Amsterdam Ave.,40.833661,-73.941454,"Convenience stores, pharmacies, and delis"
84,Broad Fish Market,3519 Broadway,40.825947,-73.950921,"Convenience stores, pharmacies, and delis"
85,Pueblo Magico Grocery,500 W. 146th St.,40.825905,-73.947112,"Convenience stores, pharmacies, and delis"
86,1 Columbia Deli,1290 Amsterdam Ave.,40.811977,-73.957294,"Convenience stores, pharmacies, and delis"
88,Golden Deli,3377 Broadway,40.821368,-73.954288,"Convenience stores, pharmacies, and delis"
89,3 Star Deli Grocery,1045 St. Nicholas Ave.,40.836615,-73.940073,"Convenience stores, pharmacies, and delis"
90,125th St. Food Mart,521 W. 125th St.,40.814136,-73.956997,"Convenience stores, pharmacies, and delis"
91,360 Deli,360 W. 110th St.,40.801161,-73.959856,"Convenience stores, pharmacies, and delis"
92,American Discount,2067 Amsterdam Ave.,40.836101,-73.939675,"Convenience stores, pharmacies, and delis"
93,Olive Tree Deli,3060 Broadway,40.811343,-73.961322,"Convenience stores, pharmacies, and delis"
94,Columbia Deli and Grill,1348 Amsterdam Ave.,40.813981,-73.955829,"Convenience stores, pharmacies, and delis"
95,2732 Convenience Grocery,2732 Broadway,40.800194,-73.967941,"Convenience stores, pharmacies, and delis"
96,Community Candy,3513 Broadway,40.82561,-73.951169,"Convenience stores, pharmacies, and delis"
97,453 Harlem Deli,453 W. 125th St.,40.812766,-73.955785,"Convenience stores, pharmacies, and delis"
98,Broadway Finest Deli,3620 Broadway,40.829046,-73.948405,"Convenience stores, pharmacies, and delis"
99,467 Star Deli,467 W. 125th St.,40.813118,-73.956099,"Convenience stores, pharmacies, and delis"
100,Divya Convenience,934 Amsterdam Ave.,40.800268,-73.965852,"Convenience stores, pharmacies, and delis"
102,Moke&News,3189 Broadway,40.815584,-73.958569,"Convenience stores, pharmacies, and delis"
104,Quezada's Juice Bar,501 W. 145th St.,40.825367,-73.947912,"Convenience stores, pharmacies, and delis"
105,7-Eleven Store #37539A,801 Amsterdam Ave.,40.796215,-73.968794,"Convenience stores, pharmacies, and delis"
106,194 Manhattan Deli,194 Manhattan Ave.,40.800084,-73.960426,"Convenience stores, pharmacies, and delis"
107,155th Street Auto Center,3740 Broadway,40.833021,-73.945508,"Convenience stores, pharmacies, and delis"
108,Columbia Smoke Shop,974 Amsterdam Ave.,40.801605,-73.964862,"Convenience stores, pharmacies, and delis"
109,Eleganza Gourmet,1 Convent Ave.,40.812896,-73.953134,"Convenience stores, pharmacies, and delis"
110,Manhattan Ville Deli Gourmet,1437 Amsterdam Ave.,40.816468,-73.954027,"Convenience stores, pharmacies, and delis"
111,Duane Reade #14214,2760-2762 Broadway,40.80139,-73.967764,"Convenience stores, pharmacies, and delis"
112,501 Deli,501 W. 125th St.,40.813657,-73.956575,"Convenience stores, pharmacies, and delis"
113,AAA 99 Cents,547 W. 145th St.,40.826112,-73.949695,"Convenience stores, pharmacies, and delis"
114,Ranch Deli,980 Columbus Ave.,40.800853,-73.961695,"Convenience stores, pharmacies, and delis"
115,Los Vecinos Meat Market,987 Amsterdam Ave.,40.802028,-73.964546,"Convenience stores, pharmacies, and delis"
116,Taft 1 Deli,469 W. 157th St.,40.832448,-73.941023,"Convenience stores, pharmacies, and delis"
117,Jar Deli Market,501 W. 134th St.,40.8185,-73.953381,"Convenience stores, pharmacies, and delis"
118,Amsterdam 99 Cent Plus,912 Amsterdam Ave.,40.799609,-73.966326,"Convenience stores, pharmacies, and delis"
119,La Blanda Meat Market,3824 Broadway,40.8354,-73.943765,"Convenience stores, pharmacies, and delis"
120,Convenience and Candy,3550 Broadway,40.826838,-73.950032,"Convenience stores, pharmacies, and delis"
121,Jacob Gourmet Food,601 W. 151st St.,40.830262,-73.947784,"Convenience stores, pharmacies, and delis"
122,A to Z 99 Cent Store,2686 Broadway,40.79879,-73.968653,"Convenience stores, pharmacies, and delis"
123,Dollar Mart,3848 Broadway,40.836169,-73.943201,"Convenience stores, pharmacies, and delis"
124,Silver Moon Deli,3840 Broadway,40.836077,-73.943266,"Convenience stores, pharmacies, and delis"
125,Upper West Candy Grocery,2618 Broadway,40.796409,-73.97038,"Convenience stores, pharmacies, and delis"
126,The Mexican Culture Deli,2017 Amsterdam Ave.,40.83502,-73.94046,"Convenience stores, pharmacies, and delis"
127,Bahamas Deli,3137 Broadway,40.813675,-73.959924,"Convenience stores, pharmacies, and delis"
128,Wejdan Candy & Grocery,3890 Broadway,40.83757,-73.942195,"Convenience stores, pharmacies, and delis"
129,Samad's Gourmet,2867 Broadway,40.805123,-73.966138,"Convenience stores, pharmacies, and delis"
130,Columbia Gourmet Deli,3905 Broadway,40.838109,-73.942063,"Convenience stores, pharmacies, and delis"
131,Manhattanville Deli,1413 Amsterdam Ave.,40.815484,-73.95473,"Convenience stores, pharmacies, and delis"
132,3345 Broadway Deli & Grocery,3345 Broadway,40.820315,-73.955044,"Convenience stores, pharmacies, and delis"
133,101 Smoke Shop,2660 Broadway,40.798014,-73.969202,"Convenience stores, pharmacies, and delis"
134,Nadal's Deli,3399 Broadway,40.822063,-73.95377,"Convenience stores, pharmacies, and delis"
135,Great News,2941 Broadway,40.80762,-73.964316,"Convenience stores, pharmacies, and delis"
136,New Deli 1,3660 Broadway,40.830371,-73.947441,"Convenience stores, pharmacies, and delis"
137,Upper Manhattan Pharmacy,1728 Amsterdam Ave.,40.825622,-73.947321,"Convenience stores, pharmacies, and delis"
138,Duane Reade #14225,2864 Broadway,40.804903,-73.966046,"Convenience stores, pharmacies, and delis"
139,Joe's Gourmet Deli,920 Columbus Ave.,40.798663,-73.96329,"Convenience stores, pharmacies, and delis"
140,99 Cents & Discount,1967 Amsterdam,40.833144,-73.941833,"Convenience stores, pharmacies, and delis"
226,159 Convenience Corp.,1995 Amsterdam Ave.,40.833968,-73.941232,"Convenience stores, pharmacies, and delis"
240,El Refugio Food Corporation,1532 Amsterdam Ave.,40.819361,-73.951902,"Convenience stores, pharmacies, and delis"
141,Domino's,409 W. 125th St.,40.81158786,-73.95451103,Top 50 American fast-food chains
142,McDonald's,3549 Broadway,40.82669866,-73.95025859,Top 50 American fast-food chains
143,Dunkin',2568 Broadway,40.79501232,-73.97150066,Top 50 American fast-food chains
144,Starbucks,2929 Broadway,40.80695556,-73.96467193,Top 50 American fast-food chains
145,"Taco Bell, KFC",3645 Broadway,40.8296922,-73.948081,Top 50 American fast-food chains
146,Chipotle Mexican Grill,3781 Broadway,40.83415089,-73.94482151,Top 50 American fast-food chains
147,Subway,3559 Broadway,40.82691268,-73.95010305,Top 50 American fast-food chains
148,Chipotle Mexican Grill,805 Columbus Ave.,40.79498061,-73.96595683,Top 50 American fast-food chains
149,Subway,3419 Broadway,40.82254714,-73.95329312,Top 50 American fast-food chains
150,Wendy's,3939 Broadway,40.83887561,-73.94136619,Top 50 American fast-food chains
151,"Dunkin', Baskin-Robbins",900 St. Nicholas Ave.,40.83099819,-73.94131896,Top 50 American fast-food chains
152,Dunkin',206 W. 104th St.,40.79928196,-73.96705263,Top 50 American fast-food chains
153,Subway,3795 Broadway,40.83449111,-73.94457188,Top 50 American fast-food chains
154,Subway,971 Amsterdam Ave.,40.80143871,-73.96496022,Top 50 American fast-food chains
155,Starbucks,2690 Broadway,40.79902438,-73.96858056,Top 50 American fast-food chains
156,Dunkin',3369 Broadway,40.82108187,-73.95436,Top 50 American fast-food chains
157,Domino's,3624 Broadway,40.8291544,-73.94844277,Top 50 American fast-food chains
158,Chipotle Mexican Grill,2843 Broadway,40.80429374,-73.96661668,Top 50 American fast-food chains
