,County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
33,New York,743915,Store,A,946 COLUMBUS AVE LLC,946 COLUMBUS AVE CONV,946,COLUMBUS AVE,,,NEW YORK,NY,10025,100,7,51417190.86,50149.62606,False
34,New York,748864,Store,JAC,TSOM CORP,TSOM,1239,"AMSTERDAM AVENUE, IN MASAWA",,,NEW YORK,NY,10027,200,7,51417190.86,50149.62606,True
35,New York,717422,Store,JAC,105 DELI & GRILL INC,105 DELI & GRILL,922,AMSTERDAM AVE,,,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,False
36,New York,726907,Store,A,TOURE SIDI M,TOURE SIDI M,905,COLUMBUS AVE,,,NEW YORK,NY,10025,400,7,51417190.86,50149.62606,False
37,New York,745507,Store,JAC,FAMILIA FRUIT MARKET CORP,FAMILIA FRUIT MARKET,3430,BROADWAY,,,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,True
38,New York,628571,Store,JAC,1836 AMSTERDAM MINIMARKET CORP,1836 AMSTERDAM MINIMKT,1836,AMSTERDAM AVE,,,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,True
39,New York,745037,Store,JAC,PRESPYTERIAN DELI CORP,PRESPYTERIAN DELI,1083,ST. NICHOLAS AVE,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
40,New York,734286,Store,JAC,MI BANDERA GROCERIES & MEATS INC,MI BANDERA GROCERIES &,1045,ST NICHOLAS AVE,,,NEW YORK,NY,10032,2200,7,51417190.86,50149.62606,True
41,New York,628832,Store,JAC,ARCHIE GROCERY CORP,ARCHIE GROCERY,1061,SAINT NICHOLAS AVE,,,NEW YORK,NY,10032,1500,7,51417190.86,50149.62606,True
42,New York,741608,Store,JAC,MANHATTANVILLE GOURMET DELI 2 INC,MANHATTANVILLE GOURMET,1477,AMSTERDAM AVE,,,NEW YORK,NY,10027,0,7,51417190.86,50149.62606,False
43,New York,629976,Store,JAC,LAM SUPERMARKET CORP,APPLE TREE MARKET,1225,AMSTERDAM AVE,,,NEW YORK,NY,10027,4700,7,51417190.86,50149.62606,True
44,New York,626486,Store,JAC,145 DELI&GROCERY INC,145 DELI&GROCERY,1717,AMSTERDAM AVE,,,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,True
45,New York,735661,Store,A,142 GROCERY AND TOBACCO INC,142 GROCERY AND TOBACCO,3475,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
46,New York,739745,Store,JAC,DE LA CRUZ RIVERA EVA,RIVERA FRUITS & VEGETAB,2011,AMSTERDAM AVE,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
47,New York,733022,Store,JAC,JP 144 GROCERY CORP,JP 144 GROCERY,1700,AMSTERDAM AVE,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,True
48,New York,744792,Store,JAC,AZIZ DELI CORP,AZIZ DELI,3448,BROADWAY,,,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,False
49,New York,713257,Store,JAC,BIG FARM MEX PRODUCE INC,BIG FARM MEX PRODUCE,2100,AMSTERDAM AVE STORE 1,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,True
50,New York,626855,Store,JAC,HAMILTON CORNER MEAT MARKET INC,HAMILTON MEAT MARKET,1,HAMILTON PLACE,,,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,False
51,New York,627578,Store,JAC,THRIFTY DELI SUPERMARKET CORP,THRIFTY DELI SPRMKT,3149,BROADWAY,,,NEW YORK,NY,10027,3500,7,51417190.86,50149.62606,True
52,New York,725960,Store,JAC,PLATON RICARDO CHINO,RICKY FRUITS VEGETABLES,3804,BROADWAY,,,NEW YORK,NY,10032,1200,7,51417190.86,50149.62606,True
53,New York,722668,Store,A,WASHINGTON HEIGHT GROCERY INC,WASHINGTON HEIGHT GROCE,2011C,AMSTERDAM AVE,,,NEW YORK,NY,10032,1200,7,51417190.86,50149.62606,False
54,New York,625757,Store,JAC,BROADWAY SPECIALTY FOODS INC,GARDEN OF EDEN,2780,BROADWAY,,,NEW YORK,NY,10025,4300,7,51417190.86,50149.62606,True
55,New York,745315,Store,JAC,KING WEST DELI INC,KING WEST DELI,62,MANHATTAN AVE,,,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,False
56,New York,731696,Store,JAC,LUNA DELI INC,LUNA DELI,3494,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
57,New York,710634,Store,JAC,LEDESMA AMARILIS A,AMOR DELI GROCERY,21,CONVENT AVE,,,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,True
58,New York,735972,Store,JAC,RED OLIVE DELI INC,RED OLIVE DELI,567,W 125TH STREET,,,NEW YORK,NY,10027,942,7,51417190.86,50149.62606,False
59,New York,720987,Store,JAC,EASY 602 FOOD CORP,EASY 602 FOOD,3371,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,True
60,New York,748842,Store,A,GB LICENSE LLC,GOPUFF (BROADWAY),2680,BROADWAY,,,NEW YORK,NY,10025,5000,7,51417190.86,50149.62606,False
61,New York,744642,Store,JAC,EVERGREEN MOE INC,EVERGREEN MOE,600,W 160TH STREET,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
62,New York,739698,Store,JAC,AMEEN DELI CORP,AMEEN DELI,1776,AMSTERDAM AVE,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
63,New York,729037,Store,JAC,TWO RIVERS DELI-GROCERY CORP,TWO RIVERS DELI-GROCERY,1948,AMSTERDAM AVE,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
64,New York,627443,Store,A,ALPHAYA 99 CENT STORE PLUS CORP,ALPHAYA 99,1405,AMSTERDAM AVE,,,NEW YORK,NY,10027,2500,7,51417190.86,50149.62606,False
65,New York,744367,Store,JAC,BROADWAY GOURMET DELI 1 CORP,BROADWAY GOURMET,3750,BROADWAY,,,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,False
66,New York,715091,Store,JAC,109 SPICY GOURMET DELI INC,109 SPICY GOURMET DELI,990,AMSTERDAM AVE,,,NEW YORK,NY,10025,1200,7,51417190.86,50149.62606,False
67,New York,624697,Store,A,SOLIS VICENTE ANGEL,YUCA MEXICAN PRODUCE &,1345-9,AMSTERDAM AVE,,,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,False
