County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
New York,628571,Store,JAC,1836 AMSTERDAM MINIMARKET CORP,1836 AMSTERDAM MINIMKT,1836,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,
New York,745037,Store,JAC,PRESPYTERIAN DELI CORP,PRESPYTERIAN DELI,1083,ST. NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,
New York,734286,Store,JAC,MI BANDERA GROCERIES & MEATS INC,MI BANDERA GROCERIES &,1045,ST NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,2200,7,51417190.86,50149.62606,
New York,628832,Store,JAC,ARCHIE GROCERY CORP,ARCHIE GROCERY,1061,SAINT NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,1500,7,51417190.86,50149.62606,
New York,741608,Store,JAC,MANHATTANVILLE GOURMET DELI 2 INC,MANHATTANVILLE GOURMET,1477,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,0,7,51417190.86,50149.62606,
New York,629976,Store,JAC,LAM SUPERMARKET CORP,APPLE TREE MARKET,1225,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,4700,7,51417190.86,50149.62606,
New York,626486,Store,JAC,145 DELI&GROCERY INC,145 DELI&GROCERY,1717,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,
New York,735661,Store,A,142 GROCERY AND TOBACCO INC,142 GROCERY AND TOBACCO,3475,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,739745,Store,JAC,DE LA CRUZ RIVERA EVA,RIVERA FRUITS & VEGETAB,2011,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,733022,Store,JAC,JP 144 GROCERY CORP,JP 144 GROCERY,1700,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,744792,Store,JAC,AZIZ DELI CORP,AZIZ DELI,3448,BROADWAY,NA,NA,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,
New York,713257,Store,JAC,BIG FARM MEX PRODUCE INC,BIG FARM MEX PRODUCE,2100,AMSTERDAM AVE STORE 1,NA,NA,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,
New York,626855,Store,JAC,HAMILTON CORNER MEAT MARKET INC,HAMILTON MEAT MARKET,1,HAMILTON PLACE,NA,NA,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,
New York,627578,Store,JAC,THRIFTY DELI SUPERMARKET CORP,THRIFTY DELI SPRMKT,3149,BROADWAY,NA,NA,NEW YORK,NY,10027,3500,7,51417190.86,50149.62606,
New York,725960,Store,JAC,PLATON RICARDO CHINO,RICKY FRUITS VEGETABLES,3804,BROADWAY,NA,NA,NEW YORK,NY,10032,1200,7,51417190.86,50149.62606,
New York,722668,Store,A,WASHINGTON HEIGHT GROCERY INC,WASHINGTON HEIGHT GROCE,2011C,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,1200,7,51417190.86,50149.62606,
New York,625757,Store,JAC,BROADWAY SPECIALTY FOODS INC,GARDEN OF EDEN,2780,BROADWAY,NA,NA,NEW YORK,NY,10025,4300,7,51417190.86,50149.62606,
New York,745315,Store,JAC,KING WEST DELI INC,KING WEST DELI,62,MANHATTAN AVE,NA,NA,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,
New York,731696,Store,JAC,LUNA DELI INC,LUNA DELI,3494,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,710634,Store,JAC,LEDESMA AMARILIS A,AMOR DELI GROCERY,21,CONVENT AVE,NA,NA,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,
New York,735972,Store,JAC,RED OLIVE DELI INC,RED OLIVE DELI,567,W 125TH STREET,NA,NA,NEW YORK,NY,10027,942,7,51417190.86,50149.62606,
New York,720987,Store,JAC,EASY 602 FOOD CORP,EASY 602 FOOD,3371,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,748842,Store,A,GB LICENSE LLC,GOPUFF (BROADWAY),2680,BROADWAY,NA,NA,NEW YORK,NY,10025,5000,7,51417190.86,50149.62606,
New York,744642,Store,JAC,EVERGREEN MOE INC,EVERGREEN MOE,600,W 160TH STREET,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,739698,Store,JAC,AMEEN DELI CORP,AMEEN DELI,1776,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,729037,Store,JAC,TWO RIVERS DELI-GROCERY CORP,TWO RIVERS DELI-GROCERY,1948,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,627443,Store,A,ALPHAYA 99 CENT STORE PLUS CORP,ALPHAYA 99,1405,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,2500,7,51417190.86,50149.62606,
New York,744367,Store,JAC,BROADWAY GOURMET DELI 1 CORP,BROADWAY GOURMET,3750,BROADWAY,NA,NA,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,
New York,715091,Store,JAC,109 SPICY GOURMET DELI INC,109 SPICY GOURMET DELI,990,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10025,1200,7,51417190.86,50149.62606,
New York,624697,Store,A,SOLIS VICENTE ANGEL,YUCA MEXICAN PRODUCE &,1345-9,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,
New York,625119,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04185,3539,BROADWAY,NA,NA,NEW YORK,NY,10031,6000,7,51417190.86,50149.62606,
New York,722576,Store,JAC,LOS AMIGOS FOOD CORP,LOS AMIGOS FOOD,1055,ST NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,
New York,628323,Store,A,BIG EMPIRE INC,99 CENTS & UP NYC,921,COLUMBUS AVE,NA,NA,NEW YORK,NY,10025,2800,7,51417190.86,50149.62606,
New York,705011,Store,JAC,GRAB & GO GOURMET DELI INC,GRAB & GO GOURMET DELI,3920,BROADWAY STORE 1,NA,NA,NEW YORK,NY,10032,2800,7,51417190.86,50149.62606,
New York,717698,Store,JAC,ST PHILOPATER MARCURIUS INC,RANCH DELI,856,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10025,9000,7,51417190.86,50149.62606,
New York,732893,Store,A,CVS ALBANY LLC,CVS PHARMACY # 11075,2833,BROADWAY,NA,NA,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,
New York,625528,Store,A,RITE AID OF NEW YORK INC,RITE AID 7759,1033,ST NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,5000,7,51417190.86,50149.62606,
New York,729139,Store,JAC,MANHATTAN SEAFOOD INC,MANHATTAN SEAFOOD,3344,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,742939,Store,JAC,COLUMBIA 1 MARKET INC,COLUMBIA 1 MARKET,20,OLD BROADWAY,NA,NA,NEW YORK,NY,10027,0,7,51417190.86,50149.62606,
New York,732926,Store,JAC,KING COLUMBUS GOURMET DELI INC,KING COLUMBUS GOURMET D,900,COLUMBUS AVE,NA,NA,NEW YORK,NY,10025,750,7,51417190.86,50149.62606,
New York,734079,Store,JAC,GALLARDO MINIMARKET CORP,GALLARDO MINIMARKET,3478,BROADWAY,NA,NA,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,
New York,628893,Store,JAC,J&F MEAT MARKET CORP,J&F MEAT MARKET,1975,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,3600,7,51417190.86,50149.62606,
New York,718558,Store,JAC,2002 BROTHER DELI GROCERY NY CORP,2002 BROTHER DELI GROCE,507,159TH STREET,NA,NA,NEW YORK,NY,10032,2400,7,51417190.86,50149.62606,
New York,625298,Store,JAC,LAMICH CORP,MONDEL CHOCOLATES,2913,BROADWAY,NA,NA,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,
New York,625670,Store,JAC,901 COLUMBUS DELI CORP,901 COLUMBUS DELI,901,COLUMBUS AVE,NA,NA,NEW YORK,NY,10025,1600,7,51417190.86,50149.62606,
New York,725709,Store,JAC,YDHNY INC,YDHNY SEAFOOD,600,W 160TH STREET,NA,NA,NEW YORK,NY,10032,300,7,51417190.86,50149.62606,
New York,723963,Store,JAC,3821 FOOD CORP,SUPER FOOD TOWN,600,WEST 160TH STREET,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,724148,Store,JAC,WEST PARK DELI INC,WEST PARK DELI,19,W 103RD ST,NA,NA,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,
New York,741994,Store,JAC,528 SUGAR HILL GOURMET DELI CORP,528 SUGAR HILL GOURMET,528,WEST 145TH ST,NA,NA,NEW YORK,NY,10031,2000,7,51417190.86,50149.62606,
New York,737409,Store,A,HAIDERAH CANDY AND GROCERY CORP,HAIDERAH CANDY,561,WEST 145TH STREET,NA,NA,NEW YORK,NY,10031,500,7,51417190.86,50149.62606,
New York,735024,Store,A,CVS ALBANY LLC,CVS/PHARMACY #10827,3536,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,746172,Store,JAC,ELLINGTON DELI DELI CORP THE,THE ELLINGTON DELI DELI,934,COLUMBUS AVE,NA,NA,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,
New York,626943,Store,JAC,RANCHOS FOOD CORP,COLUMBUS FOODMARKET,71-81,W 104TH ST,NA,NA,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,
New York,628382,Store,JAC,MARTE WILLIAM,KSY MINI MARKET,996,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,
New York,748700,Store,A,MISHKINS PHARMA LLC,MISHKINS PHARMACY,1714,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,629375,Store,JAC,GOALS SERVICE STATION INC,SHELL GAS,3260,BROADWAY,NA,NA,NEW YORK,NY,10027,750,7,51417190.86,50149.62606,
New York,724712,Store,A,HAMILTON HEIGHTS GROCERY INC,HAMILTON HEIGHTS GROCER,3422,BROADWAY,NA,NA,NEW YORK,NY,10031,800,7,51417190.86,50149.62606,
New York,745634,Store,JAC,FREEDOM DELI PLUS CORP,FREEDOM DELI PLUS,908,SAINT NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,746864,Store,JAC,CAMILO ROSADO DELI GROCERY CORP,CAMILO ROSADO DELI GROC,2003,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,2600,7,51417190.86,50149.62606,
New York,748183,Store,JAC,2M ASSOCIATES DISCOUNT STORE INC,2M ASSOCIATES DISCOUNT,1405,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,1000,7,51417190.86,50149.62606,
New York,729991,Store,JAC,YELLOW BANANA DELI CORPORATION,YELLOW BANANA,1658,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,450,7,51417190.86,50149.62606,
New York,628067,Store,A,DUANE READE ET AL PRTS,DUANE READE 14417,568-574,W 125TH ST,NA,NA,NEW YORK,NY,10027,9000,7,51417190.86,50149.62606,
New York,728569,Store,JAC,A.L. BROADWAY GROCERY CORP,A.L. BROADWAY GROCERY,3770,BROADWAY,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,737928,Store,JAC,MORNINGSIDE DELI INC,MORNINGSIDE DELI,256,MANHATTEN AVE,NA,NA,NEW YORK,NY,10026,0,7,51417190.86,50149.62606,
New York,720146,Store,JAC,STAR ONE DELI AND SALAD BAR CORP,STAR ONE DELI SALAD BAR,1800,AMSTERDAM AVE.,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,748904,Store,A,BROADWAY MART 2708 INC,BROADWAY MART,2708,BROADWAY,NA,NA,NEW YORK,NY,10025,2000,7,51417190.86,50149.62606,
New York,745362,Store,A,HEIGHTS GROCERY INC,HEIGHTS GROCERY,3801,BROADWAY,NA,NA,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,
New York,727236,Store,JAC,SEAFOOD KING FISH MARKET INC,SEAFOOD KING FISH MARKE,3903-3905,BROADWAY,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,624595,Store,JAC,840 ST NICHOLAS FOOD CORP,840 ST NICHOLAS FD MKT,840,ST NICHOLAS AVE,NA,NA,NEW YORK,NY,10031,1700,7,51417190.86,50149.62606,
New York,726097,Store,JAC,1514 SMART GOURMET INC,1514 SMART GOURMET,1514,AMSTERDAM AVENUE,NA,NA,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,
New York,626294,Store,JAC,GANADA CORP,KIMS FISH MARKET,201,W 104TH ST,NA,NA,NEW YORK,NY,10025,600,7,51417190.86,50149.62606,
New York,625936,Store,JABC,NAMDOR INC,GRISTEDES 601,2704,BROADWAY,NA,NA,NEW YORK,NY,10025,17000,7,51417190.86,50149.62606,
New York,741559,Store,JAC,AVI DELI GROCERY INC,AVI DELI GROCERY,1954,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,
New York,743240,Store,A,HUDSON CANDY AND GROCERY CORP,HUDSON CANDY AND GROCER,600,W 161ST ST,NA,NA,NEW YORK,NY,10033,0,7,51417190.86,50149.62606,
New York,714684,Store,JAC,CHUBBY HUBBY DELI CORP,CHUBBY HUBBY DELI,3350,BROADWAY #5,NA,NA,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,
New York,737994,Store,A,BEST CANDY STORE INC,BEST CANDY STORE,3430,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,721123,Store,JAC,PELAEZ PRODUCE CORP,PELAEZ PRODUCE 1/17/201,3557,BROADWAY,NA,NA,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,
New York,735609,Store,A,BEST VALUE 99C CORP,BEST VALUE,1802,AMSTERDAM AVENUE,NA,NA,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,
New York,725306,Store,A,97 TOBACCO SHOP INC,97TOBACCO SHOP,2578,BROADWAY,NA,NA,NEW YORK,NY,10025,300,7,51417190.86,50149.62606,
New York,733796,Store,JAC,DIAZ MINI DELI GROCERY LLC,DIAZ MINI DELI,601A,WEST 144TH STREET,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,727217,Store,JAC,WEST 96 DELI INC,WEST 96 DELI,214,WEST 96TH STREET,NA,NA,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,
New York,627615,Store,JAC,FELO DELI GROCERY CORP,FELO DELI GROCERY,23,W 100TH ST,NA,NA,NEW YORK,NY,10025,1250,7,51417190.86,50149.62606,
New York,748702,Store,A,APTEKA RX INC,AMSTERDAM PHARMACY & SU,1743,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,625184,Store,A,CVS ALBANY LLC,CVS PHARMACY 02360,743,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,
New York,731842,Store,A,3635 SILVER SADDLE DELI GROCERY I,3635 SILVER SADDLE DELI,3635,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,628834,Store,JAC,JOES GOURMET HEALTH DELI INC,JOES GOURMET HEALTH DEL,3161,BROADWAY,NA,NA,NEW YORK,NY,10027,1200,7,51417190.86,50149.62606,
New York,625111,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04189,741,COLUMBUS AVE,NA,NA,NEW YORK,NY,10025,1250,7,51417190.86,50149.62606,
New York,744365,Store,JAC,NY 1 GOURMET DELI CORP,NY 1 GOURMET DELI,1983,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,
New York,722672,Store,JAC,CARIBBEAN FRIEND FOOD CORP,CARIBBEAN FRIEND FOOD C,3462,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,717864,Store,JAC,BROAD FISH MARKET INC,BROAD FISH MARKET,3519,BROADWAY,NA,NA,NEW YORK,NY,10031,1600,7,51417190.86,50149.62606,
New York,738237,Store,A,ISARA MEXICAN TAQUERIA LLC,PUEBLO MAGICO GROCERY,500B,WEST 146TH STREET,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,737279,Store,JAC,1 COLUMBIA DELI INC,1 COLUMBIA DELI,1290,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10027,2000,7,51417190.86,50149.62606,
New York,625186,Store,JAC,BLUE AND WHITE MARKETS INC,MORTON WILLIAMS UNIVERS,2941,BROADWAY,NA,NA,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,
New York,738538,Store,JAC,MS ONE FISH MARKET INC,MS ONE FISH MARKET,2780,BROADWAY,NA,NA,NEW YORK,NY,10025,200,7,51417190.86,50149.62606,
New York,628211,Store,JAC,MANHATTAN GROCERY CORP,JUANA GROCERY,150,MANHATTAN AVE,NA,NA,NEW YORK,NY,10025,3000,7,51417190.86,50149.62606,
New York,721767,Store,JAC,GOLDEN DELI CORP,GOLDEN DELI,3377,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,733220,Store,JAC,SAM GOURMET DELI & GROCERY CORP,SAM GOURMET DELI & GROC,3459,BROADWAY,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,702461,Store,A,3 STAR DELI GROCERY INC,3 STAR DELI GROCERY,1045,ST NICHOLAS AVE,NA,NA,NEW YORK,NY,10032,1100,7,51417190.86,50149.62606,
New York,725385,Store,A,125 FOOD MART INC,125TH ST FOOD MART,521,WEST 125TH STREET,NA,NA,NEW YORK,NY,10027,1800,7,51417190.86,50149.62606,
New York,733512,Store,JAC,360 DELI CORP,360 DELI,360,WEST 110TH STREET,NA,NA,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,
New York,728851,Store,JAC,EDDY FOOD CENTER CORP,EDDY FOOD CENTER,2108,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,
New York,739662,Store,JAC,WESTSIDE FRUITS & VEGETABLES INC,WESTSIDE FRUITS & VEGET,900,AMSTERDAM AVENUE,NA,NA,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,
New York,729313,Store,A,AMERICAN DISCOUNT INC,AMERICAN DISCOUNT,2067,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,
New York,744702,Store,JAC,SONS FRESH PRODUCE 2 INC,SONS FRESH MARKET,3349,BROADWAY,NA,NA,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,
New York,715960,Store,JAC,844 DELI GROCERY INC,844 DELI GROCERY,844,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,
New York,736281,Store,JAC,ZZ DELI GROCERY CORP,ZZ DELI GROCERY,1753,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,
New York,623155,Store,JAC,SUHAIL FADHL N,SUHAIL DELI&GROCERY,1536,AMSTERDAM AVE,NA,NA,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,
New York,705693,Store,JAC,ABC FOOD CENTER INC,PAPASITOS FOOD MARKET,3605,BROADWAY,NA,NA,NEW YORK,NY,10031,3000,7,51417190.86,50149.62606,
New York,626649,Store,JAC,3060 BROADWAY CORP,OLIVE TREE DELI,3060,BROADWAY,NA,NA,NEW YORK,NY,10027,1500,7,51417190.86,50149.62606,
New York,732757,Store,JAC,HANA MART COLUMBIA CORP,H MART,2828,BROADWAY,NA,NA,NEW YORK,NY,10025,6500,7,51417190.86,50149.62606,
New York,720361,Store,JAC,COLUMBIA DELI AND GRILL INC,COLUMBIA DELI AND GRILL,1348,AMSTERDAM AVENUE,NA,NA,NEW YORK,NY,10027,1000,7,51417190.86,50149.62606,
New York,628594,Store,A,2732 CONVENIENCE GROCERY CORP,2732 CONVENIENCE GROCER,2732,BROADWAY,NA,NA,NEW YORK,NY,10025,525,7,51417190.86,50149.62606,
