County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery,min_cost_eggs,min_cost_milk,min_cost_chicken_breast_lb,min_cost_oranges,min_cost_salad,min_cost_bread_loaf
New York,625757,Store,JAC,BROADWAY SPECIALTY FOODS INC,GARDEN OF EDEN,2780,BROADWAY,NEW YORK,NY,10025,4300,7,51417190.86,50149.62606,TRUE,,,,,,
New York,710634,Store,JAC,LEDESMA AMARILIS A,AMOR DELI GROCERY,21,CONVENT AVE,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,720987,Store,JAC,EASY 602 FOOD CORP,EASY 602 FOOD,3371,BROADWAY,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748842,Store,A,GB LICENSE LLC,GOPUFF (BROADWAY),2680,BROADWAY,NEW YORK,NY,10025,5000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,744642,Store,JAC,EVERGREEN MOE INC,EVERGREEN MOE,600,W 160TH STREET,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,729037,Store,JAC,TWO RIVERS DELI-GROCERY CORP,TWO RIVERS DELI-GROCERY,1948,AMSTERDAM AVE,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624697,Store,A,SOLIS VICENTE ANGEL,YUCA MEXICAN PRODUCE &,1345-9,AMSTERDAM AVE,NEW YORK,NY,10027,600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,722576,Store,JAC,LOS AMIGOS FOOD CORP,LOS AMIGOS FOOD,1055,ST NICHOLAS AVE,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,742939,Store,JAC,COLUMBIA 1 MARKET INC,COLUMBIA 1 MARKET,20,OLD BROADWAY,NEW YORK,NY,10027,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,734079,Store,JAC,GALLARDO MINIMARKET CORP,GALLARDO MINIMARKET,3478,BROADWAY,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,718558,Store,JAC,2002 BROTHER DELI GROCERY NY CORP,2002 BROTHER DELI GROCE,507,159TH STREET,NEW YORK,NY,10032,2400,7,51417190.86,50149.62606,TRUE,,,,,,
New York,723963,Store,JAC,3821 FOOD CORP,SUPER FOOD TOWN,600,WEST 160TH STREET,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,626943,Store,JAC,RANCHOS FOOD CORP,COLUMBUS FOODMARKET,71-81,W 104TH ST,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628382,Store,JAC,MARTE WILLIAM,KSY MINI MARKET,996,AMSTERDAM AVE,NEW YORK,NY,10025,4000,7,51417190.86,50149.62606,TRUE,,,,,,
